genome,group
Staph.beads.533,1
Path_Reg_30,1
marc.bacteremia.293.a,1
marc.bacteremia.286.a,1
marc.bacteremia.605.a,1
marc.bacteremia.288.a,1
marc.bacteremia.290.a,1
Path_Reg_52,1
Staph.bead.21,1
Staph.beads.600,1
Staph.beads.437,1
Staph.beads.454,1
s.18.SACA.4,1
s.18.SACA.2,1
s.18.SACA.1,1
marc.bacteremia.295.a,1
marc.bacteremia.324.a,1
Staph.bead.852a,1
Staph.beads.253,1
Staph.bead.194,1
Staph.bead.69,1
Staph.beads.968a,1
Staph.beads.942a,1
Staph.beads.506,1
marc.bacteremia.1190.a,1
Staph.beads.898a,1
Staph.bead.849a,1
marc.bacteremia.533.a,1
marc.bacteremia.540.a,1
marc.bacteremia.532.a,1
Staph.beads.565,1
Staph.beads.578,1
marc.bacteremia.1148.a,1
marc.bacteremia.1067.a,1
marc.bacteremia.1058.a,1
marc.bacteremia.1050.a,1
marc.bacteremia.1339.a,1
marc.bacteremia.1064.a,1
marc.bacteremia.1118.a,1
marc.bacteremia.513.a,1
marc.bacteremia.506.a,1
Staph.bead.183,1
marc.bacteremia.505.a,1
marc.bacteremia.522.a,1
Staph.bead.824a,1
Staph.bead.808a,1
Staph.beads.576,1
marc.bacteremia.1105.a,1
Staph.beads.508,1
Staph.beads.502,1
Staph.bead.40,1
Staph.bead.48,1
Staph.beads.700,1
Staph.beads.969a,1
Staph.beads.431,1
Staph.beads.430,1
Staph.beads.535,1
Path_Reg_42,1
Path_Reg_27,1
marc.bacteremia.597.a,1
marc.bacteremia.613.a,1
Staph.bead.172,1
Path_Reg_49,1
marc.bacteremia.389.a,1
Staph.beads.258,1
marc.bacteremia.391.a,1
marc.bacteremia.379.a,1
marc.bacteremia.396.a,1
Staph.beads.735,1
Staph.beads.653,1
Staph.beads.715,1
Staph.beads.629,1
Staph.bead.94,1
Staph.beads.701,1
Staph.beads.296,1
Staph.beads.294,1
Staph.beads.374,1
Sta.aur.bead.2,1
Staph.beads.318,1
Path_Reg_54,1
Staph.bead.127,1
Staph.bead.136,1
Staph.bead.771a,1
marc.bacteremia.397.a,1
marc.bacteremia.399.a,1
marc.bacteremia.407.a,1
marc.bacteremia.411.a,1
Staph.beads.572,1
Staph.beads.592,1
Staph.beads.501,1
Staph.beads.445,1
marc.bacteremia.1144.a,1
marc.bacteremia.1321.a,1
marc.bacteremia.519.a,1
Staph.bead.157,1
marc.bacteremia.1020.a,1
marc.bacteremia.1026.a,1
Staph.beads.714,1
Staph.beads.492,1
Staph.beads.491,1
Staph.bead.225,1
Staph.bead.224,1
